State/UT,N,P,K,OC,B,Cu,Fe,Mn,S,Zn
Andaman and Nicobar Islands,low,very low,very low,low,sufficient,sufficient,sufficient,sufficient,deficient,sufficient
Andhra Pradesh,low,high,high,low,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Arunachal Pradesh,high,low,very low,very high,deficient,sufficient,sufficient,sufficient,sufficient,sufficient
Assam,low,very low,very low,low,deficient,sufficient,sufficient,sufficient,sufficient,sufficient
Bihar,low,medium,medium,medium,deficient,sufficient,sufficient,sufficient,deficient,deficient
Chhattisgarh,low,medium,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Delhi,medium,very low,high,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Goa,medium,very low,medium,very high,deficient,sufficient,sufficient,sufficient,deficient,sufficient
Gujarat,low,medium,medium,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Haryana,very low,very low,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Himachal Pradesh,medium,medium,medium,very high,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Jammu and Kashmir,medium,medium,medium,very high,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Jharkhand,low,low,medium,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Karnataka,low,medium,medium,low,deficient,sufficient,deficient,sufficient,sufficient,deficient
Kerala,very low,medium,medium,very high,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Ladakh,medium,medium,medium,very high,deficient,sufficient,sufficient,sufficient,deficient,sufficient
Madhya Pradesh,low,low,medium,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Maharashtra,low,medium,high,low,sufficient,sufficient,deficient,sufficient,deficient,deficient
Manipur,medium,low,medium,very high,sufficient,sufficient,sufficient,sufficient,deficient,sufficient
Meghalaya,medium,very low,low,very high,sufficient,sufficient,sufficient,sufficient,deficient,sufficient
Mizoram,medium,low,medium,medium,sufficient,sufficient,sufficient,sufficient,deficient,sufficient
Nagaland,high,very low,medium,very high,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Odisha,very low,very low,medium,low,deficient,deficient,deficient,deficient,deficient,sufficient
Puducherry,very low,very low,medium,medium,deficient,sufficient,sufficient,sufficient,sufficient,sufficient
Punjab,very low,medium,medium,low,deficient,sufficient,sufficient,sufficient,sufficient,sufficient
Rajasthan,very low,medium,medium,low,deficient,sufficient,deficient,sufficient,sufficient,deficient
Sikkim,low,medium,medium,very high,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Tamil Nadu,low,medium,medium,low,deficient,sufficient,sufficient,sufficient,sufficient,sufficient
Telangana,low,medium,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Dadra and Nagar Haveli and Daman and Diu,low,low,high,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Tripura,low,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Uttar Pradesh,very low,low,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
Uttarakhand,very low,medium,medium,medium,deficient,sufficient,sufficient,sufficient,sufficient,sufficient
West Bengal,medium,very high,medium,very high,sufficient,sufficient,sufficient,sufficient,deficient,sufficient
Total,low,medium,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
